"","LIBID","LIBNAME","PHONE","CENTLIB","BRANLIB","BKMOB","MASTER","LIBRARIA","OTHPAID","LOCGVT","STGVT","FEDGVT","OTHINCM","TOTINCM","TOTEXPCO","TOTOPEXP","CAPITAL","BKVOL","SUBSCRIP","REFERENC","TOTCIR","LOANTO","LOANFM","KIDCIRCL","KIDATTEN","C_RELATN","C_LEGBAS","C_ADMIN","CNTY","POPU_UND","FSCSKEY","STABR","OBEREG","RSTATUS","C_FSCS","ELMATEXP","GEOCODE","POPU_LSA","TOTSTAFF","HRS_OPEN","VISITS","GPTERMS","YR_SUB","ADDRES_M","ZIP4_M","LSABOUND","PRMATEXP","OTHMATEX","CAP_REV","EBOOK","DATABASE","STARTDAT","ENDDATE","TOTPRO","TOTATTEN","LCAP_REV","SCAP_REV","OCAP_REV","KIDPRO","STATSTRU","STATNAME","STATADDR","DB_ST","REGBOR","PITUSR","LONGITUD","FIPSST","FIPSCO","FIPSPLAC","CENBLOCK","CDCODE","CNTYPOP","LOCALE","YAPRO","YAATTEN","AUDIO_PH","AUDIO_DL","VIDEO_PH","VIDEO_DL","CBSA","MICROF","DB_LO_OT","GAL","GALMS","POSTMS","Year"
"77252","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,1,330.75,423.5,756,"$63281982.00","$7116784.00","$446388.00","$7786485.00","$78631639.00","$11997719.00","$78615045.00",NA,6669651,12500,6788392,11180767,3092,1174,4919537,513798,"HQ","CO","MO","KINGS",2141647,"NY0004","NY",2,1,"Y","$732400.00","CO1",NA,1179.5,133779,8612091,828,2001,"GRAND ARMY PLAZA","5698",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2000"
"77789","6800000000","QUEENS BOROUGH PUBLIC LIBRARY","7189908542",1,62,0,352.19,420,822.41,"$64036832.00","$6256120.00","$2057230.00","$5272559.00","$77622741.00","$10985922.00","$74283888.00",NA,9589861,10117,3550300,16866579,7031,2597,5197377,385329,"HQ","CO","MO","QUEENS",1816723,"NY0562","NY",2,1,"Y","$790141.00","CO1",NA,1242.41,139670,15957772,790,2001,"89-11 MERRICK BOULEVARD","5242",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2000"
"77989","4801290000","NEW YORK PUBLIC LIBRARY","2124300941",1,85,0,635.51,635.51,1864.62,"$105512586.00","$20933294.00","$3713181.00","$64057471.00","$194216532.00","$25499441.00","$184373698.00",NA,18730043,84577,9191030,12934494,6685,3364,3536387,292185,"HQ","CO","MO","NEW YORK",2858114,"NY0778","NY",2,1,"Y","$500000.00","MC1",NA,2500.13,175500,14114942,1180,2001,"455 FIFTH AVENUE","122",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2000"
"86380","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,2,337.31,408.19,745.06,"$64291617.00","$8076244.00","$368200.00","$6976714.00","$79712775.00","$8609854.00","$77054618.00",NA,6777703,10345,6614504,11469622,3498,804,4998462,523011,"HQ","CO","MO","KINGS",2307160,"NY0004","NY",2,1,"Y","$0.00","CO1",NA,1153.25,138372,8915398,884,2002,"GRAND ARMY PLAZA","5698",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2001"
"86912","6800000000","QUEENS BOROUGH PUBLIC LIBRARY","7189909618",1,62,0,327.78,378.35,830.99,"$84375603.00","$6842230.00","$768361.00","$4740460.00","$96726654.00","$10260470.00","$76785290.00",NA,9595051,10867,3293238,17045799,6475,2678,5528172,405730,"HQ","CO","MO","QUEENS",2086350,"NY0562","NY",2,1,"Y","$886064.00","CO1",NA,1209.34,137536,16567675,810,2002,"89-11 MERRICK BOULEVARD","5248",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2001"
"87107","4801290000","NEW YORK PUBLIC LIBRARY","2124300941",1,85,0,754.25,754.25,2067.63,"$125004270.00","$22116472.00","$2464735.00","$74482561.00","$224068038.00","$33787707.00","$215379047.00",NA,19080814,85124,8998599,14472137,6472,3483,3801696,265983,"HQ","CO","MO","NEW YORK",3100986,"NY0778","NY",2,1,"Y","$0.00","MC1",NA,2821.88,173420,14565243,1648,2002,"455 FIFTH AVENUE","122",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2001"
"95507","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,2,265.12,349.12,677.69,"$67180011.00","$7257181.00","$510027.00","$8144346.00","$83091565.00","$8309084.00","$76383047.00",NA,7099406,15828,6165328,11141898,2757,853,4727519,427667,"HQ","CO","MO","KINGS",2465326,"NY0004","NY",2,1,"Y","$0.00","CO1",NA,1026.81,120120,8623829,921,2003,"GRAND ARMY PLAZA","5698",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2002"
"96039","6800000000","QUEENS BOROUGH PUBLIC LIBRARY","7189908618",1,62,0,291.38,329,777.88,"$53699506.00","$6471466.00","$2128083.00","$5547136.00","$67846191.00","$8849333.00","$74185791.00",NA,9119334,8813,3443310,16860455,6619,2488,5176929,314533,"HQ","CO","MO","QUEENS",2229379,"NY0562","NY",2,1,"Y","$991632.00","CO1",NA,1106.88,137498,16202787,830,2003,"89-11 MERRICK BOULEVARD","5248",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2002"
"96238","4801290000","NEW YORK PUBLIC LIBRARY","2123400941",1,86,0,644,644,1764.88,"$115489421.00","$21471363.00","$2869571.00","$74766128.00","$214596483.00","$26482810.00","$208834107.00",NA,19386559,79695,8962758,15032908,5876,3447,3729809,278836,"HQ","CO","MO","NEW YORK",3313573,"NY0778","NY",2,1,"Y","$0.00","MC1",NA,2408.88,156260,14645515,1951,2003,"455 FIFTH AVENUE","122",NA,"","","",NA,NA,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2002"
"104720","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,2,287.44,362.69,550.81,"$62649234.00","$7628571.00","$117934.00","$8119531.00","$78515270.00","$7360095.00","$77879263.00",NA,6092737,15101,4567992,10110201,3852,869,4233591,427667,"HQ","NP","MO","KINGS",2461205,"NY0004","NY",2,1,"Y","$405035.00","CO1",NA,913.5,99008,9656970,931,2004,"GRAND ARMY PLAZA","5698",NA,"$5322794.00","$1632266.00","$841479.00",0,10,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2003"
"105253","6800310000","QUEENS BOROUGH PUBLIC LIBRARY","7189908618",1,62,0,285.69,307.56,822.94,"$55637966.00","$6205483.00","$2299462.00","$5356413.00","$69499324.00","$9392569.00","$71781750.00",NA,7689246,8533,2890212,16580373,6523,2141,4818701,307311,"HQ","CO","MO","QUEENS",2225653,"NY0562","NY",2,1,"Y","$638792.00","CO1",NA,1130.5,119883,14945031,830,2004,"89-11 MERRICK BOULEVARD","5248",NA,"$8241307.00","$512470.00","$0.00",1033,70,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2003"
"105448","4801290000","NEW YORK PUBLIC LIBRARY","2123400941",1,87,0,546.1,546.1,1811.86,"$102275849.00","$21983580.00","$1940667.00","$89198923.00","$215399019.00","$21981574.00","$202185721.00",NA,19681803,46781,6947227,14157753,4461,2752,3434357,240586,"HQ","NP","MO","NEW YORK",3308035,"NY0778","NY",2,1,"Y","$0.00","MC1",NA,2357.96,153075,13315552,1942,2004,"455 FIFTH AVENUE","122",NA,"$21179301.00","$802273.00","$4582242.00",0,0,"","",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2003"
"113921","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,2,291.38,352.19,568.31,"$70821159.00","$7219094.00","$482579.00","$8232061.00","$86754893.00","$5818211.00","$80318102.00",NA,4489647,15888,5183360,12001857,4358,1481,3147229,337664,"HQ","NP","MO","KINGS",2455574,"NY0004","NY",2,1,"Y","$1609585.00","CO1",NA,920.5,105056,9894820,958,2005,"GRAND ARMY PLAZA","5698",NA,"$3215981.00","$992645.00","$2084816.00",4187,69,"1/1/04","12/31/04",37272,568588,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2004"
"114452","6800310000","QUEENS BOROUGH PUBLIC LIBRARY","7189908618",1,62,0,301.88,318.51,856.63,"$72114147.00","$5945000.00","$1834743.00","$5235508.00","$85129398.00","$8779882.00","$75150096.00",NA,5848127,7995,3405857,17851129,6010,1805,5269658,300358,"HQ","CO","MO","QUEENS",2220560,"NY0562","NY",2,1,"Y","$515464.00","CO1",NA,1175.14,122031,14554187,830,2005,"89-11 MERRICK BOULEVARD","5248",NA,"$7736592.00","$527826.00","$0.00",6650,67,"1/1/04","12/31/04",22452,473384,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2004"
"114647","4801290000","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES","2126420120",1,87,0,560.18,560.18,2072.88,"$116857231.00","$17515229.00","$1473382.00","$84617908.00","$220463750.00","$22209173.00","$210914562.00",NA,20017441,83225,7250666,15230636,4025,2922,3636252,240060,"HQ","NP","MO","NEW YORK",3300465,"NY0778","NY",2,1,"Y","$0.00","MC1",NA,2633.06,160732,13554002,2199,2005,"455 FIFTH AVENUE","122",NA,"$22199767.00","$9406.00","$12198778.00",127346,258,"1/1/04","12/31/04",25964,570429,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2004"
"123128","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,2,293.13,352.63,601.13,"$103769306.00","$7177691.00","$1154611.00","$10496805.00","$122598413.00","$4939202.00","$82882908.00",NA,4474819,14519,3715036,15370209,2979,1855,5671629,345937,"HQ","NP","MO","KINGS",2451887,"NY0004","NY",2,1,"Y","$1620949.00","CO1",NA,953.76,112632,10884302,959,2006,"GRAND ARMY PLAZA","5698",NA,"$2809079.00","$509174.00","$105564.00",7426,64,"1/1/05","12/31/05",36626,571667,"$105564.00","$0.00","$0.00",19843,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2005"
"123660","6800310000","QUEENS BOROUGH PUBLIC LIBRARY","7189908618",1,62,0,275.63,299.26,925.75,"$93950542.00","$6297072.00","$2547671.00","$4926552.00","$107721837.00","$10915183.00","$84963379.00",NA,5959874,6327,3630783,19482461,5519,1440,5080990,297145,"HQ","CO","MO","QUEENS",2217226,"NY0562","NY",2,2,"Y","$982984.00","CO1",NA,1225.01,125895,14143211,970,2006,"89-11 MERRICK BOULEVARD","5248",NA,"$9370556.00","$561643.00","$0.00",8059,76,"1/1/05","12/31/05",24199,495171,"$0.00","$0.00","$0.00",12795,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2005"
"123857","4801290000","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES","2126420120",1,87,0,570.88,570.88,2211.41,"$120276586.00","$22987413.00","$1791295.00","$89425332.00","$234480626.00","$24162796.00","$223439193.00",NA,20280526,95099,7292477,15710007,6004,2511,3675187,246166,"HQ","NP","MO","NEW YORK",3295510,"NY0778","NY",2,1,"Y","$0.00","MC1",NA,2782.29,172848,13842278,2328,2006,"455 FIFTH AVENUE","122",NA,"$24139407.00","$23389.00","$32486235.00",135598,514,"1/1/05","12/31/05",25405,533154,"$31722254.00","$763981.00","$0.00",12148,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2005"
"132360","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,2,293.56,353.06,597.63,"$76619886.00","$8517903.00","$1411288.00","$10526861.00","$97075938.00","$5534438.00","$89041149.00",NA,4635691,14422,3812100,15923239,3105,1905,7333463,385071,"HQ","NP","MO","KINGS",2450928,"NY0004","NY",2,1,"Y","$1679138.00","CO1",NA,950.69,112632,10955423,1009,2007,"GRAND ARMY PLAZA","5698",NA,"$2784393.00","$1070907.00","$30495.00",1638,76,"1/1/06","12/31/06",36503,579865,"$30495.00","$0.00","$0.00",19870,0,0,0,12,1145603,2941322,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2006"
"132894","6800310000","QUEENS BOROUGH PUBLIC LIBRARY","7189900700",1,62,1,311.5,329,867.13,"$74021402.00","$6942765.00","$2717248.00","$8264027.00","$91945442.00","$10055570.00","$94453954.00",NA,6050033,7649,3375840,20478447,5635,1683,5511703,261238,"HQ","CO","MO","QUEENS",2216359,"NY0562","NY",2,1,"Y","$560947.00","CO1",NA,1196.13,120409,14131408,1100,2007,"89-11 MERRICK BOULEVARD","5248",NA,"$8590319.00","$904304.00","$0.00",11956,83,"1/1/06","12/31/06",22948,464143,"$0.00","$0.00","$0.00",11533,0,0,0,19,817455,2673381,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2006"
"133090","4801290000","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES","2126420120",1,89,0,547.9,547.9,2187.89,"$124392347.00","$21576607.00","$2154024.00","$89688756.00","$237811734.00","$26650776.00","$232321348.00",NA,20735254,90047,8129928,16152096,8773,2102,3875635,302904,"HQ","NP","MO","NEW YORK",3294221,"NY0778","NY",2,2,"Y","$46291.00","MC1",NA,2735.79,170872,15181566,2337,2007,"455 FIFTH AVENUE","122",NA,"$26555658.00","$48827.00","$11795177.00",134968,607,"1/1/06","12/31/06",27344,587468,"$6657339.00","$4690493.00","$0.00",12751,0,0,0,14,2712535,4925870,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2006"
"141535","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,2,344.75,413,684.25,"$92984153.00","$8471470.00","$674674.00","$12079352.00","$114209649.00","$8147135.00","$97089558.00",NA,3109467,17547,3450350,16488414,3466,2147,5622977,492158,"HQ","NP","MO","KINGS",2448997,"NY0004","NY",2,1,"Y","$1896440.00","CO1",NA,1097.25,120380,12410531,1078,2008,"GRAND ARMY PLAZA","5698",NA,"$5413686.00","$837009.00","$1269931.00",2384,80,"1/1/07","12/31/07",37318,733897,"$0.00","$1269931.00","$0.00",19113,0,0,15,12,1102633,3221256,-73.969562,36,47,51000,1005,"11",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2007"
"142064","6800310000","QUEENS BOROUGH PUBLIC LIBRARY","7189900700",1,61,1,379.75,391.13,997.06,"$91915446.00","$8986525.00","$3515012.00","$9550439.00","$113967422.00","$10849934.00","$92955416.00",NA,5717821,10533,3679000,21533649,5030,1389,5782127,256736,"HQ","CO","MO","QUEENS",2214613,"NY0562","NY",2,1,"Y","$935821.00","CO1",NA,1388.19,122118,14497337,1150,2008,"89-11 MERRICK BOULEVARD","5248",NA,"$8983362.00","$930751.00","$0.00",15592,105,"1/1/07","12/31/07",23745,488198,"$0.00","$0.00","$0.00",12978,0,0,0,22,818079,2750000,-73.795283,36,81,51000,2005,"6",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2007"
"142259","4801290000","NEW YORK PUBLIC LIBRARY, THE BRANCH LIBRARIES","2129300674",1,89,0,607.08,607.08,1944.5,"$134384404.00","$22562409.00","$1424875.00","$91341519.00","$249713207.00","$27811653.00","$242914590.00",NA,21095163,68565,8473460,18277103,7969,2372,4143133,316454,"HQ","NP","MO","NEW YORK",3291626,"NY0778","NY",2,1,"Y","$10185.00","MC1",NA,2551.58,191412,16343209,2583,2008,"455 FIFTH AVENUE","122",NA,"$27762839.00","$38629.00","$5119062.00",202947,627,"1/1/07","12/31/07",28379,647338,"$3300606.00","$1818456.00","$0.00",12629,0,0,0,14,2726220,1639288,-73.981907,36,61,51000,1003,"14",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2007"
"150790","400300000","BROOKLYN PUBLIC LIBRARY","7182302403",1,59,2,371,407.75,731.06,"$76398531.00","$7973496.00","$896444.00","$9459866.00","$94728337.00","$9851612.00","$105348307.00",NA,3688047,19536,3430950,16823608,4051,3060,5645710,367852,"HQ","NP","MO","KINGS",2445845,"NY0004","NY",2,1,"Y","$1908796.00","CO1",NA,1138.81,120276,12914996,1108,2009,"10 GRAND ARMY PLAZA","5698",NA,"$7032749.00","$910067.00","$1418566.00",2987,95,"1/1/08","12/31/08",36515,615703,"$0.00","$1418566.00","$0.00",15472,0,0,0,15,1095094,3317893,-73.969496,36,47,51000,1005,"11",2556598,"11",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2008"
"151320","6800310000","QUEENS BOROUGH PUBLIC LIBRARY","7189900700",0,61,0,365.75,390.25,1001.88,"$74452333.00","$8527202.00","$2458695.00","$5790376.00","$91228606.00","$10994034.00","$104501900.00",NA,6277001,7465,3959839,23239871,5849,1199,6638771,283404,"HQ","CO","MO","QUEENS",2211763,"NY0562","NY",2,1,"Y","$485310.00","CO1",NA,1392.13,140018,15205638,1150,2009,"89-11 MERRICK BOULEVARD","5248",NA,"$9247518.00","$1261206.00","$0.00",16749,78,"1/1/08","12/31/08",32172,610428,"$0.00","$0.00","$0.00",16104,0,0,0,22,851787,3100000,-73.795283,36,81,51000,2005,"6",2293007,"11",NA,NA,NA,NA,NA,NA,NA,"",NA,"","","","01/01/2008"
